Client,Event,Statut,Date confirmée
Unicredit,NDR: Marubeni,Confirmé,2026-03-23
Intesa Sanpaolo SpA,NDR: Marubeni,Confirmé,2026-03-23
Eurizon Capital SGR,NDR: Marubeni,Confirmé,2026-03-23
Acomea,NDR: Marubeni,Confirmé,2026-03-23
Swedbank Robur Fonder AB,NDR: Sanil,Confirmé,2026-04-23
Third Swedish National Pension Fund (AP3),NDR: Sanil,Confirmé,2026-04-23
Brock Milton Capital AB,NDR: Sanil,Confirmé,2026-04-23
TBF Global Asset Management GmbH,1o1 Corporate Call: Doosan Enerbility,Confirmé,2026-05-22
Laiqon,NDR: Time Interconnect,Confirmé,2026-06-08
TBF Global Asset Management GmbH,NDR: Time Interconnect,Confirmé,2026-06-08
DWS Group GmbH & CO KGaA,NDR: Time Interconnect,Confirmé,2026-06-08
Swedbank Robur Fonder AB,NDR: Sunny Optical,Confirmé,2026-06-09
SEB,NDR: Sunny Optical,Confirmé,2026-06-09
Handelsbanken Asset Management,NDR: Sunny Optical,Confirmé,2026-06-09
DNCA Finance,NDR: Sunny Optical,Confirmé,2026-06-09
Mansartis,NDR: KIA,Confirmé,2026-06-09
DNCA Finance,NDR: KINIK,Confirmé,2026-06-09
Brock Milton Capital AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Third Swedish National Pension Fund (AP3),1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Swedbank Robur Fonder AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Handelsbanken Asset Management,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Fourth Swedish National Pension Fund (AP4),1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Lannebo Kapitalförvaltning AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Algebris,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Acomea,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Unicredit,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Eurizon Capital SGR,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Prisma Investment Gmbh,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Laiqon,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
TBF Global Asset Management GmbH,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Deka Investment GmbH,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
DWS Group GmbH & CO KGaA,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Acatis Investment,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Mansartis,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Sissener AS,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
DnB Asset Management AS - Norway,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
Storebrand Asset Management AS,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
First Fondene AS,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
HMG Finance,1o1 Analyst Marketing: Ari Jahja,Confirmé,2026-04-17
Candriam Belgium SA,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-28
Lazard Frères Gestion,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-28
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-28
Banque de France AM,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-28
DNCA Finance,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-28
Banque Degroof Petercam SA,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-29
Delen Private Bank NV,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-29
Econopolis,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-29
KBC,1o1 Analyst Marketing: Leslie Hoy,Confirmé,2026-05-29
Allianz Global,1o1 Analyst Marketing: Viktor Shvets,Confirmé,2026-06-12
DWS Group GmbH & CO KGaA,1o1 Analyst Marketing: Viktor Shvets,Confirmé,2026-06-12
Prisma Investment Gmbh,1o1 Analyst Marketing: Viktor Shvets,Confirmé,2026-06-12
Deka Investment GmbH,1o1 Analyst Marketing: Viktor Shvets,Confirmé,2026-06-12
Swedbank Robur Fonder AB,1o1 Analyst Marketing: Larry Hu,Confirmé,2026-06-12
Fourth Swedish National Pension Fund (AP4),1o1 Analyst Marketing: Larry Hu,Confirmé,2026-06-12
EQT PARTNERS,1o1 Analyst Marketing: Larry Hu,Confirmé,2026-06-12
Handelsbanken Asset Management,1o1 Analyst Marketing: Larry Hu,Confirmé,2026-06-12
Indecap Fonder AB,1o1 Analyst Marketing: Larry Hu,Confirmé,2026-06-12
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 Analyst Marketing: Daisy Zhang,Confirmé,2026-06-15
Acomea,1o1 Analyst Marketing: Daisy Zhang,Confirmé,2026-06-15
Cross Selling,1o1 Analyst Marketing: Daisy Zhang,Confirmé,2026-06-15
LFG ZEST,1o1 Analyst Marketing: Daisy Zhang,Confirmé,2026-06-15
Algebris,1o1 Analyst Marketing: Daisy Zhang,Confirmé,2026-06-15
Sparinvest,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-16
SYDBANK AS,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-16
C WorldWide Asset Management,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-16
Brock Milton Capital AB,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-16
Banque Degroof Petercam SA,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-17
Candriam Belgium SA,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-17
KBC,1o1 Analyst Marketing: James Hong,Confirmé,2026-06-17
Brock Milton Capital AB,1o1 Corporate Call: MacMahon,Confirmé,2026-02-27
Brock Milton Capital AB,1o1 Corporate Call: NRW,Confirmé,2026-03-09
Swedbank Robur Fonder AB,1o1 Corporate Call: Tasmea,Confirmé,2026-03-25
Brock Milton Capital AB,1o1 Corporate Call: AVC,Confirmé,2026-04-23
OBAM,1o1 Corporate Call: Sanil Elec,Confirmé,2025-05-21
Brock Milton Capital AB,1o1 Corporate Call: Lotes,Confirmé,2026-06-16
Gay Lussac,1o1 Corporate Call: EOS,Confirmé,2026-06-16
Estela Capital,1o1 Corporate Call: Nitori,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: MPI,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Winbond,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Mediatek,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Vanguard,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: TSMC,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Delta,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: ASE,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Wiwynn,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Samsung Elect,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: HPSP,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Wonik,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: SK Hynix,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: ISC,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: EO Technics,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Hanmi,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Samco,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Eugene,Confirmé,
Sycomore Asset Management,1o1 Corporate Call: Koh Young Tech,Confirmé,
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 Analyst Call: Tony Ren (WuXi),Confirmé,2026-01-15
Swedbank Robur Fonder AB,1o1 Analyst Call: Mitchell Sonogan (Mader Group) — 2026-01-20,Confirmé,2026-01-20
Brock Milton Capital AB,1o1 Analyst Call: Arthur Lai (MediaTek),Confirmé,2026-02-02
Delen Private Bank NV,1o1 Analyst Call: Kevin He/Jason Zhao (BABA Tencent),Confirmé,2026-02-04
Brock Milton Capital AB,1o1 Analyst Call: Mitchell Sonogan (Mader Group) — 2026-02-04,Confirmé,2026-02-04
Delen Private Bank NV,1o1 Analyst Call: Cherry Ma (Xiaomi),Confirmé,2026-02-09
Banque Degroof Petercam SA,1o1 Analyst Call: James Hong (Hyundai Motor),Confirmé,2026-02-24
KBC,1o1 Analyst Call: Daisy Zhang (Robotics) — 2026-03-02,Confirmé,2026-03-02
Candriam Belgium SA,1o1 Analyst Call: Daisy Zhang (Robotics) — 2026-03-04,Confirmé,2026-03-04
Brock Milton Capital AB,1o1 Analyst Call: Jeffrey Ohlweiler (phison),Confirmé,2026-03-05
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Call: Ellie Jiang (BABA Tencent) — 2026-03-06,Confirmé,2026-03-06
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Call: Ellie Jiang (BABA Tencent) — AC-11,Confirmé,
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Call: Ellie Jiang (BABA Tencent) — AC-12,Confirmé,
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Call: Ellie Jiang (BABA Tencent) — AC-13,Confirmé,
Brock Milton Capital AB,1o1 Analyst Call: Ellie Jiang,Confirmé,2026-03-09
Mandarine Gestion,1o1 Analyst Call: Jaeseo Lee (Grid Power),Confirmé,2026-03-11
Banque Degroof Petercam SA,1o1 Analyst Call: Ellie Jiang (Baidu),Confirmé,2026-03-20
DWS Group GmbH & CO KGaA,"1o1 Analyst Call: Tony Ren (Chugai, Astellas and Daiichi San…)",Confirmé,2026-03-27
Brock Milton Capital AB,1o1 Analyst Call: Daniel Kim (samsung),Confirmé,2026-03-31
Azimut,1o1 Analyst Call: kaylin Tsai,Confirmé,2026-04-09
DJE,1o1 Analyst Call: Eugene Hsiao ( CATL),Confirmé,2026-04-22
TBF Global Asset Management GmbH,1o1 Analyst Call: Jaeseo Lee — 2026-04-24,Confirmé,2026-04-24
KBC,"1o1 Analyst Call: Jayden Vantakaris (OCBC, DBS, BRIC)",Confirmé,2026-05-08
DWS Group GmbH & CO KGaA,1o1 Analyst Call: Tony Ren,Confirmé,2026-05-19
Candriam Belgium SA,1o1 Analyst Call: Sunny Chow,Confirmé,2026-06-03
Banque Degroof Petercam SA,1o1 Analyst Call: Hiroshi Taguchi,Confirmé,2026-06-04
OBAM,1o1 Analyst Call: Jaeseo Lee — 2026-06-11,Confirmé,2026-06-11
Sycomore Asset Management,1o1 Analyst Call: Jeffrey Ohlweiller,Confirmé,
Sycomore Asset Management,1o1 Analyst Call: Nick Hung,Confirmé,
Sycomore Asset Management,1o1 Analyst Call: Daniel Kim,Confirmé,
Sycomore Asset Management,1o1 Analyst Call: Jacob Kim,Confirmé,
Sycomore Asset Management,1o1 Analyst Call: Jayden Son,Confirmé,
Laiqon,Group Call: Mark Li,Confirmé,2026-02-07
Azimut,Group Call: Mark Li,Confirmé,2026-02-07
Sycomore Asset Management,Group Call: Mark Li,Confirmé,2026-02-07
Gestion Financiere Privee GEFIP,Group Call: Mark Li,Confirmé,2026-02-07
TBF Global Asset Management GmbH,Group Call: Mark Li,Confirmé,2026-02-07
Gestion Financiere Privee GEFIP,Group Call: Daniel Kim,Confirmé,2026-07-07
Brock Milton Capital AB,Group Call: Daniel Kim,Confirmé,2026-07-07
C WorldWide Asset Management,Group Call: Daniel Kim,Confirmé,2026-07-07
HMG Finance,1o1 with Matthieu H.: Lunch — HMG,Confirmé,2026-01-08
Banque de France AM,1o1 with Matthieu H.: Lunch — BDF AM,Confirmé,2026-01-12
Gestion Financiere Privee GEFIP,1o1 with Matthieu H.: Lunch — GEFIP,Confirmé,2026-01-26
Cross Selling,1o1 with Matthieu H.: Meeting — EDRAM,Confirmé,2026-01-29
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-02-02,Confirmé,2026-02-02
Cross Selling,1o1 with Matthieu H.: Lunch — KC / Cross Selling,Confirmé,2026-02-11
Mandarine Gestion,1o1 with Matthieu H.: Meeting — Mandarine,Confirmé,2026-03-02
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-03-02,Confirmé,2026-03-02
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-03-19,Confirmé,2026-03-19
Sycomore Asset Management,1o1 with Matthieu H.: Travel — Sycomore,Confirmé,2026-03-25
Athymis Gestion,1o1 with Matthieu H.: Lunch — Athymis,Confirmé,2026-04-03
CREDIT MUTUEL ASSET MANAGEMENT,1o1 with Matthieu H.: Call — Crédit Mutuel AM,Confirmé,2026-04-15
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 with Matthieu H.: Meeting — Fideuram,Confirmé,2026-05-18
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-26,Confirmé,
Algebris,1o1 with Matthieu H.: Meeting — Algebris,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-28,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-29,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-30,Confirmé,
Acomea,1o1 with Matthieu H.: Meeting — AcomeA,Confirmé,
Sycomore Asset Management,1o1 with Matthieu H.: Lunch — Sycomore,Confirmé,2026-05-02
Cross Selling,1o1 with Matthieu H.: Lunch — EPSA,Confirmé,2026-05-03
Cross Selling,1o1 with Matthieu H.: Diner — ECB,Confirmé,2026-05-05
Cross Selling,1o1 with Matthieu H.: Lunch — EDRAM,Confirmé,2026-06-16
